Employee ID,Full Name,Date of Birth,Gender,Education Level,Hire Date,Department,Job Title,Organization Level,Region,Country,Latitude,Longitude,Employment Status,Employment Type,Base Salary ($),Times Promoted,Annual Leave Entitlement (days),Ethnicity,Tenure (Years),Age (Years),Age Band,Tenure Band,Salary Band,Performance Review Year,Performance Rating,Projects Handled,Project Target,Working Hours,Overtime,Team Size,Potential Rating,Satisfaction Score,Incentive Amount ($),Bonus ($),Incentive Amount ($) Band,Bonus ($) Band,Satisfaction Score Band,Team Size Band,Performance Rating Band,Projects Handled Band,Project Target Band,Working Hours Band,Overtime Band
1017,Louise Carter,2/24/1976,Female,Doctorate,6/23/2019,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Onsite,Full-time,114497.87,4,18,White British,5,48,46-55,4-6 Years,100K-125K,2023,2.4,52,61,2181.6,149.2,14.6,Low,4.6,9219.85,11745.27,5K-10K,10K-20K,Very High,15-Nov,Average,41-60,61-80,Above 2100,101-150
1018,Cheryl Hayward,3/8/1962,Female,Bachelor's,12/9/2018,Sales,Sales Manager,Mid-Level,Europe,UK,51.5074,-0.1278,Onsite,Full-time,79220.64,3,22,Asian British,6,62,56-66,4-6 Years,75K-100K,2023,2.166666667,65,75,1994,134.1666667,7,High,3.666666667,9310.53,12911.17,5K-10K,10K-20K,High,10-Jun,Average,61-80,61-80,1901-2100,101-150
1019,Charles Allen,12/22/1965,Female,High School,8/4/2021,Operations,Logistics Manager,Mid-Level,North America,USA,37.7749,-122.4194,Remote,Part-time,77345.54,1,18,White,3,59,56-66,1-3 Years,75K-100K,2023,3,33,42,2030.333333,122,12.66666667,Moderate,4,6349.26,8636.16,5K-10K,5K-10K,High,15-Nov,Average,21-40,41-60,1901-2100,101-150
1020,Kristin Ochoa,2/11/1969,Other,Master's,9/28/2022,IT,IT Support Specialist,Entry,North America,USA,37.7749,-122.4194,Onsite,Full-time,86113.45,2,20,White,1,55,46-55,1-3 Years,75K-100K,2024,3.285714286,76,79,2065.142857,133.5714286,8.857142857,Moderate,3,18335.87,24037.64,15K-20K,20K-30K,Medium,10-Jun,Good,61-80,61-80,1901-2100,101-150
1021,Eshana Gupta,1/26/1968,Female,Master's,11/25/2021,Finance,Financial Analyst,Operational,Asia,India,28.7041,77.1025,Onsite,Full-time,64903.87,2,22,Dravidian,3,56,56-66,1-3 Years,50K-75K,2023,2.666666667,32,41,2181,120,6.333333333,Low,3.666666667,4976.7,7199.13,500-5K,5K-10K,High,10-Jun,Average,21-40,41-60,Above 2100,101-150
1022,Carly Pearce,2/27/1963,Male,Associate's,12/14/2021,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Remote,Part-time,57801.16,0,24,Asian British,3,61,56-66,1-3 Years,50K-75K,2023,2.666666667,31,34,2067.666667,121,11.33333333,Low,3,5896.26,7598.19,5K-10K,5K-10K,Medium,15-Nov,Average,21-40,21-40,1901-2100,101-150
1023,Dr Amelia Doyle,8/22/1984,Male,Master's,6/22/2022,Sales,Account Executive,Operational,Europe,UK,51.5074,-0.1278,Remote,Full-time,100392.78,0,15,White British,2,40,36-45,1-3 Years,100K-125K,2023,2,22,26,2096,106,17,High,4.5,2670.6,3776.34,500-5K,500-5K,Very High,16-20,Below Average,21-40,21-40,1901-2100,101-150
1024,Martine Scheibe,6/21/1960,Male,High School,12/4/2021,Marketing,Marketing Coordinator,Entry,Europe,Germany,52.52,13.405,Onsite,Full-time,47756.24,3,22,German,3,64,56-66,1-3 Years,30K-50K,2023,2.666666667,32,39,2007,187.6666667,9.333333333,High,3,5131.01,6585.45,5K-10K,5K-10K,Medium,10-Jun,Average,21-40,21-40,1901-2100,151-200
1025,Maurice Dunn,12/23/1973,Male,High School,6/8/2019,R&D,Research Scientist,Mid-Level,Europe,UK,51.5074,-0.1278,Onsite,Part-time,58283.95,3,22,White British,5,51,46-55,4-6 Years,50K-75K,2023,2.2,52,53,1806,129.2,11.6,High,3.8,8401.23,11210.73,5K-10K,10K-20K,High,15-Nov,Average,41-60,41-60,1701-1900,101-150
1026,Dipl.-Ing. Niels Süßebier,10/8/1960,Female,Master's,8/18/2021,IT,Software Engineer,Operational,Europe,Germany,52.52,13.405,Onsite,Full-time,51185.1,1,22,German,3,64,56-66,1-3 Years,50K-75K,2023,3.666666667,32,36,1729.333333,77.66666667,8,Moderate,4.333333333,7392,10234.24,5K-10K,10K-20K,Very High,10-Jun,Good,21-40,21-40,1701-1900,51-100
1027,Kabir Gaba,4/27/1962,Female,High School,2/25/2018,R&D,Research Scientist,Mid-Level,Asia,India,28.7041,77.1025,Remote,Full-time,65573.82,3,22,India-Tribal,6,62,56-66,4-6 Years,50K-75K,2023,2,63,73,1965.166667,162.6666667,11,Low,3.166666667,8350.84,12004.81,5K-10K,10K-20K,High,15-Nov,Below Average,61-80,61-80,1901-2100,151-200
1028,Olga Wähner-Söding,12/22/1968,Male,Bachelor's,11/14/2018,Operations,Operations Coordinator,Entry,Europe,Germany,52.52,13.405,Remote,Part-time,112810.34,2,15,German,6,56,56-66,4-6 Years,100K-125K,2023,2,63,72,1938,134.3333333,13.33333333,Moderate,3.5,8880.18,11272.99,5K-10K,10K-20K,High,15-Nov,Below Average,61-80,61-80,1901-2100,101-150
1029,Robert Zamora,8/13/1980,Male,Bachelor's,12/20/2022,IT,IT Support Specialist,Entry,Asia,Bangladesh,23.685,90.3563,Onsite,Full-time,90447.03,0,18,BD-Tribal,2,44,36-45,1-3 Years,75K-100K,2023,1.5,20,21,2116,117,9.5,Low,3,2118.35,2925.82,500-5K,500-5K,Medium,10-Jun,Below Average,20-Oct,21-40,Above 2100,101-150
1030,Stephen Parker,10/26/1983,Female,High School,2/28/2021,Operations,Logistics Manager,Mid-Level,North America,USA,37.7749,-122.4194,Onsite,Part-time,51356.64,4,22,Asian,3,41,36-45,1-3 Years,50K-75K,2023,1.666666667,31,34,2118.333333,181,7.666666667,High,4.333333333,3066.61,4834.86,500-5K,500-5K,Very High,10-Jun,Below Average,21-40,21-40,Above 2100,151-200
1031,Adya Munshi,10/17/2006,Male,High School,3/14/2021,IT,Data Scientist,Mid-Level,Asia,India,28.7041,77.1025,Remote,Full-time,118915.26,3,15,Dravidian,3,18,18-25,1-3 Years,100K-125K,2023,2.333333333,31,35,1688,57,9,High,4.666666667,4504.4,6204.97,500-5K,5K-10K,Very High,10-Jun,Average,21-40,21-40,1501-1700,51-100
1032,Alex Evans,6/29/1977,Male,Master's,8/17/2018,IT,Software Engineer,Operational,North America,USA,37.7749,-122.4194,Onsite,Full-time,43875.52,1,22,Black,6,47,46-55,4-6 Years,30K-50K,2023,2.666666667,64,71,2012,201.6666667,13.66666667,Low,3.833333333,10396.28,15499.5,10K-15K,10K-20K,High,15-Nov,Average,61-80,61-80,1901-2100,Above 200
1033,Ati Datta,4/16/1990,Female,Bachelor's,2/18/2020,Operations,Operations Coordinator,Entry,Asia,India,28.7041,77.1025,Remote,Full-time,58393.54,3,22,India-Tribal,4,34,26-35,4-6 Years,50K-75K,2023,3,45,50,2112.5,176,11.5,Moderate,3.75,8458.79,12786.21,5K-10K,10K-20K,High,15-Nov,Average,41-60,41-60,Above 2100,151-200
1034,Hemal Kale,8/21/2005,Female,High School,9/24/2021,HR,HR Specialist,Operational,Asia,India,28.7041,77.1025,Onsite,Part-time,60878.26,3,22,Indo-Aryan,3,19,18-25,1-3 Years,50K-75K,2023,2.666666667,33,39,1940,99.33333333,11,High,3,5705.02,8027.5,5K-10K,5K-10K,Medium,15-Nov,Average,21-40,21-40,1901-2100,51-100
1035,Mirjana Gierschner,6/22/1990,Female,Master's,9/5/2018,HR,HR Specialist,Operational,Europe,Germany,52.52,13.405,Onsite,Part-time,72608.18,1,18,German,6,34,26-35,4-6 Years,50K-75K,2023,2.666666667,66,72,1869.666667,133.3333333,9.833333333,Moderate,4.166666667,11188.05,16895.13,10K-15K,10K-20K,Very High,10-Jun,Average,61-80,61-80,1701-1900,101-150
1036,Wayne Arnold,3/22/1966,Female,High School,11/15/2022,Operations,Logistics Manager,Mid-Level,Europe,UK,51.5074,-0.1278,Remote,Full-time,51835.31,1,22,White British,2,58,56-66,1-3 Years,50K-75K,2023,4,23,25,1929.5,96,12,Low,4.5,6855.77,8731.53,5K-10K,5K-10K,Very High,15-Nov,Good,21-40,21-40,1901-2100,51-100
1037,Jane Allen,1/26/1966,Male,Master's,12/10/2020,IT,Data Scientist,Mid-Level,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,72495.25,1,22,Bengali,4,58,56-66,4-6 Years,50K-75K,2023,1.75,44,55,1995.5,113,9.75,High,3.25,4322,6318.41,500-5K,5K-10K,High,10-Jun,Below Average,41-60,41-60,1901-2100,101-150
1038,Susana Warmer,10/17/1986,Male,High School,12/25/2022,R&D,Research Scientist,Mid-Level,Europe,Germany,52.52,13.405,Remote,Full-time,70353.12,3,22,German,1,38,36-45,1-3 Years,50K-75K,2023,1.5,21,26,2029.5,85,12.5,Low,5,1814.5,2812.55,500-5K,500-5K,Very High,15-Nov,Below Average,21-40,21-40,1901-2100,51-100
1039,Laura Barber,3/17/1987,Female,High School,7/26/2019,R&D,Research Scientist,Mid-Level,North America,USA,37.7749,-122.4194,Remote,Full-time,59010.26,4,22,White,3,37,36-45,1-3 Years,50K-75K,2024,2.285714286,72,93,2095.428571,197.5714286,12.57142857,Moderate,2.857142857,20134.06,19761.52,Above 20K,10K-20K,Medium,15-Nov,Average,61-80,Above 80,1901-2100,151-200
1040,David Hansen,10/27/2003,Female,High School,9/24/2019,IT,Software Engineer,Operational,North America,USA,37.7749,-122.4194,Remote,Full-time,108047.08,3,18,White,5,21,18-25,4-6 Years,100K-125K,2023,2,50,64,1782.8,107.8,11.6,High,3.6,6359.03,8713.17,5K-10K,5K-10K,High,15-Nov,Below Average,41-60,61-80,1701-1900,101-150
1041,Burkhard Dowerg-Ullrich,4/20/1991,Female,Master's,3/25/2021,IT,IT Support Specialist,Entry,Europe,Germany,52.52,13.405,Onsite,Full-time,51574.58,4,24,Turkish,3,33,26-35,1-3 Years,50K-75K,2023,1,34,40,1671.333333,198,8,Low,2,1970.01,2871.73,500-5K,500-5K,Low,10-Jun,Poor,21-40,21-40,1501-1700,151-200
1042,Jay Mendoza,6/5/1973,Female,Doctorate,10/4/2020,Operations,Logistics Manager,Mid-Level,North America,USA,37.7749,-122.4194,Remote,Part-time,48416.98,0,24,Asian,4,51,46-55,4-6 Years,30K-50K,2023,1.25,44,53,1880,89,5,High,3.5,4124.56,4917.06,500-5K,500-5K,High,5-Jan,Below Average,41-60,41-60,1701-1900,51-100
1043,Lee Williamson,9/15/1982,Female,High School,11/14/2018,Finance,Financial Analyst,Operational,Europe,UK,51.5074,-0.1278,Onsite,Full-time,40590.96,4,25,White British,4,42,36-45,4-6 Years,30K-50K,2021,1,40,45,1789,205,15.25,Low,1.5,3358.48,3824.21,500-5K,500-5K,Low,16-20,Poor,21-40,41-60,1701-1900,Above 200
1044,Alexandra Scott,4/27/1972,Female,High School,11/15/2021,IT,Software Engineer,Operational,Europe,UK,51.5074,-0.1278,Remote,Full-time,64640.72,0,22,White British,3,52,46-55,1-3 Years,50K-75K,2023,1.666666667,30,30,1862,230,14.33333333,High,2.333333333,4220.11,5000,500-5K,500-5K,Medium,15-Nov,Below Average,21-40,21-40,1701-1900,Above 200
1045,Caroline Austin,6/9/1983,Female,High School,9/20/2022,Sales,Sales Representative,Entry,North America,USA,37.7749,-122.4194,Onsite,Part-time,47852.08,2,24,USA-Other,2,41,36-45,1-3 Years,30K-50K,2023,1,22,22,1820.5,172,18,High,1.5,1741,2126.94,500-5K,500-5K,Low,16-20,Poor,21-40,21-40,1701-1900,151-200
1046,Ing. Trudi Stoll B.Eng.,4/11/1982,Female,Master's,1/20/2019,Operations,Logistics Manager,Mid-Level,Europe,Germany,52.52,13.405,Onsite,Full-time,44071.57,0,24,Germany-Other,5,42,36-45,4-6 Years,30K-50K,2023,2.8,59,63,1950.8,143,10.2,High,4.4,9573.21,13949.9,5K-10K,10K-20K,Very High,15-Nov,Average,41-60,61-80,1901-2100,101-150
1047,Dr Ronald Davies,6/1/1964,Male,Master's,6/8/2018,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Remote,Full-time,120803.42,0,15,White British,4,60,56-66,4-6 Years,100K-125K,2023,2.666666667,63,75,1732.5,133.1666667,11,Moderate,2.5,11439.51,15478.61,10K-15K,10K-20K,Medium,15-Nov,Average,61-80,61-80,1701-1900,101-150
1048,Daksha Bains,4/8/1991,Female,Associate's,11/18/2019,IT,Software Engineer,Operational,Asia,India,28.7041,77.1025,Onsite,Full-time,46368.26,0,24,Indo-Aryan,5,33,26-35,4-6 Years,30K-50K,2023,2.6,52,58,1966.6,155.6,11,Low,3.4,7983.17,13004.98,5K-10K,10K-20K,High,15-Nov,Average,41-60,41-60,1901-2100,151-200
1049,Darryl Barnes,8/10/1964,Male,High School,6/24/2018,Sales,Sales Representative,Entry,North America,USA,37.7749,-122.4194,Remote,Full-time,122321.99,0,15,White,6,60,56-66,4-6 Years,100K-125K,2023,2.5,64,70,2051.333333,130.5,16.83333333,High,3.833333333,11025.03,15105.41,10K-15K,10K-20K,High,16-20,Average,61-80,61-80,1901-2100,101-150
1050,Emily Allen,8/27/1995,Female,Bachelor's,3/13/2020,R&D,R&D Engineer,Mid-Level,North America,USA,37.7749,-122.4194,Remote,Full-time,131812.91,3,15,White,4,29,26-35,4-6 Years,125K-150K,2023,4,43,45,1928.25,184.5,10,Moderate,4.5,11959.38,15976.67,10K-15K,10K-20K,Very High,10-Jun,Good,41-60,41-60,1901-2100,151-200
1051,Michelle Byrne,7/22/1975,Female,Bachelor's,1/11/2019,IT,Software Engineer,Operational,Europe,UK,51.5074,-0.1278,Remote,Full-time,55408.5,1,24,Black British,5,49,46-55,4-6 Years,50K-75K,2023,1.4,54,66,1987.6,138.2,10.2,High,3,4927.92,6456.06,500-5K,5K-10K,Medium,15-Nov,Below Average,41-60,61-80,1901-2100,101-150
1052,Dr. Sofie Binner B.Sc.,6/11/1988,Female,High School,11/27/2020,R&D,Research Scientist,Mid-Level,Europe,Germany,52.52,13.405,Remote,Full-time,82344.42,2,20,Germany-Other,4,36,36-45,4-6 Years,75K-100K,2023,2.5,45,50,1969.25,182.75,13.5,Low,3.5,6543.2,10217.99,5K-10K,10K-20K,High,15-Nov,Average,41-60,41-60,1901-2100,151-200
1053,Matthew Griffin,7/18/1962,Male,Associate's,4/29/2022,IT,IT Support Specialist,Entry,North America,USA,37.7749,-122.4194,Onsite,Part-time,49856.63,0,24,White,2,62,56-66,1-3 Years,30K-50K,2023,2,23,25,2191.5,188,13.5,High,3,3332.4,4324.37,500-5K,500-5K,Medium,15-Nov,Below Average,21-40,21-40,Above 2100,151-200
1054,Maya Aurora,5/25/1998,Male,High School,2/24/2021,Marketing,Marketing Coordinator,Entry,Asia,India,28.7041,77.1025,Onsite,Part-time,71005.46,0,22,Indo-Aryan,3,26,26-35,1-3 Years,50K-75K,2023,3,34,36,2018,120.6666667,15,Moderate,4.666666667,6891.07,8647.81,5K-10K,5K-10K,Very High,15-Nov,Average,21-40,21-40,1901-2100,101-150
1055,Richard Molina,5/3/1988,Male,Bachelor's,5/9/2022,Operations,Logistics Manager,Mid-Level,Asia,Bangladesh,23.685,90.3563,Onsite,Full-time,32229.03,3,25,Bengali,0,36,36-45,<1 Year,30K-50K,2024,3.285714286,77,89,2049,185.5714286,10.14285714,High,2.714285714,19280.17,10754.04,15K-20K,10K-20K,Medium,15-Nov,Good,61-80,Above 80,1901-2100,151-200
1056,Alicia Bonbach,5/29/1977,Female,Bachelor's,1/26/2022,HR,HR Specialist,Operational,Europe,Germany,52.52,13.405,Onsite,Full-time,56844.42,3,24,German,2,47,46-55,1-3 Years,50K-75K,2023,3,22,25,2114,224.5,19,Moderate,3.5,5030.68,6244.59,5K-10K,5K-10K,High,16-20,Average,21-40,21-40,Above 2100,Above 200
1057,Annelore Freudenberger,3/2/2006,Male,Bachelor's,6/11/2022,Operations,Logistics Manager,Mid-Level,Europe,Germany,52.52,13.405,Remote,Part-time,31007.25,0,25,German,2,18,18-25,1-3 Years,30K-50K,2023,1,21,26,2101.5,268.5,5,High,1.5,1572.27,1826.67,500-5K,500-5K,Low,5-Jan,Poor,21-40,21-40,Above 2100,Above 200
1058,Jörn Beyer B.Sc.,11/25/1972,Female,High School,8/13/2020,R&D,R&D Engineer,Mid-Level,Europe,Germany,52.52,13.405,Onsite,Full-time,70751.78,1,20,Germany-Other,1,52,46-55,1-3 Years,50K-75K,2024,2.142857143,79,95,1983.571429,148.7142857,6.285714286,Low,2.857142857,18885.86,13677.49,15K-20K,10K-20K,Medium,10-Jun,Average,61-80,Above 80,1901-2100,101-150
1059,Stjepan Klemm,5/13/1964,Male,Bachelor's,6/18/2021,Marketing,Content Strategist,Operational,Europe,Germany,52.52,13.405,Remote,Full-time,62434.63,3,20,German,3,60,56-66,1-3 Years,50K-75K,2023,2.333333333,34,40,1953.666667,112.6666667,14,High,4.666666667,5167.2,6820.75,5K-10K,5K-10K,Very High,15-Nov,Average,21-40,21-40,1901-2100,101-150
1060,Diane Lewis,3/28/1988,Male,Master's,1/1/2020,Marketing,Content Strategist,Operational,North America,USA,37.7749,-122.4194,Remote,Full-time,97768.65,4,18,White,4,36,36-45,4-6 Years,75K-100K,2023,1.75,41,44,1932.5,132,11,Low,3.5,5362.05,6622.01,5K-10K,5K-10K,High,15-Nov,Below Average,41-60,41-60,1901-2100,101-150
1061,Odika Chowdhury,1/17/1988,Male,Associate's,9/17/2018,Sales,Sales Representative,Entry,Asia,India,28.7041,77.1025,Onsite,Full-time,84589.51,2,20,Indo-Aryan,6,36,36-45,4-6 Years,75K-100K,2023,1.666666667,63,65,1932,120.1666667,11.33333333,Moderate,3.833333333,7746.18,10148.28,5K-10K,10K-20K,High,15-Nov,Below Average,61-80,61-80,1901-2100,101-150
1062,Justin Clark,2/9/1970,Female,Master's,8/11/2022,R&D,R&D Engineer,Mid-Level,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,56378.18,4,24,BD-Tribal,2,54,46-55,1-3 Years,50K-75K,2023,1.5,22,30,1866,119.5,13.5,High,3,1854.52,2531.79,500-5K,500-5K,Medium,15-Nov,Below Average,21-40,21-40,1701-1900,101-150
1063,Gislinde Etzold,8/25/1976,Female,High School,12/7/2021,IT,IT Support Specialist,Entry,Europe,Germany,52.52,13.405,Remote,Full-time,96177.64,3,18,Germany-Other,3,48,46-55,1-3 Years,75K-100K,2023,2,32,36,2045.333333,143.3333333,4.666666667,Moderate,3.333333333,3544.25,5976.23,500-5K,5K-10K,High,5-Jan,Below Average,21-40,21-40,1901-2100,101-150
1064,Ekapad Thakkar,11/3/1978,Female,Bachelor's,6/12/2021,Marketing,Content Strategist,Operational,Asia,India,28.7041,77.1025,Remote,Full-time,61640.72,4,22,Indo-Aryan,3,46,46-55,1-3 Years,50K-75K,2023,2.666666667,32,41,2102,175,15.66666667,Moderate,3.333333333,5307.94,6869.6,5K-10K,5K-10K,High,16-20,Average,21-40,41-60,Above 2100,151-200
1065,Dominic Davies,11/26/1989,Female,Bachelor's,4/9/2021,IT,Data Scientist,Mid-Level,North America,USA,37.7749,-122.4194,Onsite,Part-time,97200.4,3,18,White,3,35,26-35,1-3 Years,75K-100K,2023,3,30,40,1896.333333,153.3333333,10.33333333,Moderate,3.666666667,5585.59,7573.78,5K-10K,5K-10K,High,15-Nov,Average,21-40,21-40,1701-1900,151-200
1066,Ms Carly Andrews,2/16/1974,Male,High School,9/20/2019,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Onsite,Full-time,52736.36,0,22,White British,5,50,46-55,4-6 Years,50K-75K,2023,3.4,55,67,1949,81.8,9,High,4.2,11709.7,16974.17,10K-15K,10K-20K,Very High,10-Jun,Good,41-60,61-80,1901-2100,51-100
1067,Nicholas Moore,10/27/1978,Male,Associate's,8/18/2021,HR,HR Specialist,Operational,Europe,UK,51.5074,-0.1278,Onsite,Full-time,40057.79,1,25,UK-Other,3,46,46-55,1-3 Years,30K-50K,2023,1.666666667,32,34,1826.333333,177.3333333,12,Moderate,4,3467.3,5095.64,500-5K,5K-10K,High,15-Nov,Below Average,21-40,21-40,1701-1900,151-200
1068,Univ.Prof. Ingeburg Kensy B.Sc.,5/13/1972,Male,High School,12/11/2018,Sales,Account Executive,Operational,Europe,Germany,52.52,13.405,Remote,Part-time,112879.54,3,18,German,6,52,46-55,4-6 Years,100K-125K,2023,1.833333333,66,76,1960.833333,205.3333333,13.5,High,3.5,9637.63,10993.91,5K-10K,10K-20K,High,15-Nov,Below Average,61-80,61-80,1901-2100,Above 200
