Employee ID,Full Name,Date of Birth,Gender,Education Level,Hire Date,Department,Job Title,Organization Level,Region,Country,Latitude,Longitude,Employment Status,Employment Type,Base Salary ($),Times Promoted,Current Employment Status,Annual Leave Entitlement (days),Ethnicity,Tenure (Years),Age (Years),Age Band,Tenure Band,Salary Band,Performance Review Year,Performance Rating,Projects Handled,Project Target,Working Hours,Overtime,Team Size,Potential Rating,Satisfaction Score,Incentive Amount ($),Bonus ($),Incentive Amount ($) Band,Bonus ($) Band,Satisfaction Score Band,Team Size Band,Performance Rating Band,Projects Handled Band,Project Target Band,Working Hours Band,Overtime Band
1016,Amanda Lewis,1992-11-12,Female,Master's,2020-03-25,Sales,Account Executive,Operational,Asia,Bangladesh,23.685,90.3563,Onsite,Full-time,55855.66,3,Resigned,22,Bengali,2,32,26-35,1-3 Years,50K-75K,2021,3.5,21,26,2009.0,48.5,16.0,Low,2.5,3827.7200000000003,6750.280000000001,500-5K,5K-10K,Medium,16-20,Good,21-40,21-40,1901-2100,0-50
1017,Louise Carter,1976-02-24,Female,Doctorate,2019-06-23,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Onsite,Full-time,114497.87,4,Active,18,White British,5,48,46-55,4-6 Years,100K-125K,2023,2.4,52,61,2181.6,149.2,14.6,Low,4.6,9219.85,11745.27,5K-10K,10K-20K,Very High,11-15,Average,41-60,61-80,Above 2100,101-150
1018,Cheryl Hayward,1962-03-08,Female,Bachelor's,2018-12-09,Sales,Sales Manager,Mid-Level,Europe,UK,51.5074,-0.1278,Onsite,Full-time,79220.64,3,Active,22,Asian British,6,62,56-66,4-6 Years,75K-100K,2023,2.1666666666666665,65,75,1994.0,134.16666666666666,7.0,High,3.6666666666666665,9310.529999999999,12911.17,5K-10K,10K-20K,High,6-10,Average,61-80,61-80,1901-2100,101-150
1019,Charles Allen,1965-12-22,Female,High School,2021-08-04,Operations,Logistics Manager,Mid-Level,North America,USA,37.7749,-122.4194,Remote,Part-time,77345.54,1,Active,18,White,3,59,56-66,1-3 Years,75K-100K,2023,3.0,33,42,2030.3333333333333,122.0,12.666666666666666,Moderate,4.0,6349.26,8636.16,5K-10K,5K-10K,High,11-15,Average,21-40,41-60,1901-2100,101-150
1020,Kristin Ochoa,1969-02-11,Other,Master's,2022-09-28,IT,IT Support Specialist,Entry,North America,USA,37.7749,-122.4194,Onsite,Full-time,86113.45,2,Resigned,20,White,1,55,46-55,1-3 Years,75K-100K,2024,3.2857142857142856,76,79,2065.1428571428573,133.57142857142858,8.857142857142858,Moderate,3.0,18335.87,24037.64,15K-20K,20K-30K,Medium,6-10,Good,61-80,61-80,1901-2100,101-150
1021,Eshana Gupta,1968-01-26,Female,Master's,2021-11-25,Finance,Financial Analyst,Operational,Asia,India,28.7041,77.1025,Onsite,Full-time,64903.87,2,Active,22,Dravidian,3,56,56-66,1-3 Years,50K-75K,2023,2.6666666666666665,32,41,2181.0,120.0,6.333333333333333,Low,3.6666666666666665,4976.7,7199.13,500-5K,5K-10K,High,6-10,Average,21-40,41-60,Above 2100,101-150
1022,Carly Pearce,1963-02-27,Male,Associate's,2021-12-14,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Remote,Part-time,57801.16,0,Active,24,Asian British,3,61,56-66,1-3 Years,50K-75K,2023,2.6666666666666665,31,34,2067.6666666666665,121.0,11.333333333333334,Low,3.0,5896.26,7598.1900000000005,5K-10K,5K-10K,Medium,11-15,Average,21-40,21-40,1901-2100,101-150
1023,Dr Amelia Doyle,1984-08-22,Male,Master's,2022-06-22,Sales,Account Executive,Operational,Europe,UK,51.5074,-0.1278,Remote,Full-time,100392.78,0,Active,15,White British,2,40,36-45,1-3 Years,100K-125K,2023,2.0,22,26,2096.0,106.0,17.0,High,4.5,2670.6000000000004,3776.34,500-5K,500-5K,Very High,16-20,Below Average,21-40,21-40,1901-2100,101-150
1024,Martine Scheibe,1960-06-21,Male,High School,2021-12-04,Marketing,Marketing Coordinator,Entry,Europe,Germany,52.52,13.405,Onsite,Full-time,47756.24,3,Active,22,German,3,64,56-66,1-3 Years,30K-50K,2023,2.6666666666666665,32,39,2007.0,187.66666666666666,9.333333333333334,High,3.0,5131.01,6585.45,5K-10K,5K-10K,Medium,6-10,Average,21-40,21-40,1901-2100,151-200
1025,Maurice Dunn,1973-12-23,Male,High School,2019-06-08,R&D,Research Scientist,Mid-Level,Europe,UK,51.5074,-0.1278,Onsite,Part-time,58283.95,3,Active,22,White British,5,51,46-55,4-6 Years,50K-75K,2023,2.2,52,53,1806.0,129.2,11.6,High,3.8,8401.23,11210.73,5K-10K,10K-20K,High,11-15,Average,41-60,41-60,1701-1900,101-150
1026,Dipl.-Ing. Niels Süßebier,1960-10-08,Female,Master's,2021-08-18,IT,Software Engineer,Operational,Europe,Germany,52.52,13.405,Onsite,Full-time,51185.1,1,Active,22,German,3,64,56-66,1-3 Years,50K-75K,2023,3.6666666666666665,32,36,1729.3333333333333,77.66666666666667,8.0,Moderate,4.333333333333333,7392.0,10234.24,5K-10K,10K-20K,Very High,6-10,Good,21-40,21-40,1701-1900,51-100
1027,Kabir Gaba,1962-04-27,Female,High School,2018-02-25,R&D,Research Scientist,Mid-Level,Asia,India,28.7041,77.1025,Remote,Full-time,65573.82,3,Active,22,India-Tribal,6,62,56-66,4-6 Years,50K-75K,2023,2.0,63,73,1965.1666666666667,162.66666666666666,11.0,Low,3.1666666666666665,8350.84,12004.81,5K-10K,10K-20K,High,11-15,Below Average,61-80,61-80,1901-2100,151-200
1028,Olga Wähner-Söding,1968-12-22,Male,Bachelor's,2018-11-14,Operations,Operations Coordinator,Entry,Europe,Germany,52.52,13.405,Remote,Part-time,112810.34,2,Active,15,German,6,56,56-66,4-6 Years,100K-125K,2023,2.0,63,72,1938.0,134.33333333333334,13.333333333333334,Moderate,3.5,8880.18,11272.99,5K-10K,10K-20K,High,11-15,Below Average,61-80,61-80,1901-2100,101-150
1029,Robert Zamora,1980-08-13,Male,Bachelor's,2022-12-20,IT,IT Support Specialist,Entry,Asia,Bangladesh,23.685,90.3563,Onsite,Full-time,90447.03,0,Active,18,BD-Tribal,2,44,36-45,1-3 Years,75K-100K,2023,1.5,20,21,2116.0,117.0,9.5,Low,3.0,2118.35,2925.82,500-5K,500-5K,Medium,6-10,Below Average,10-20,21-40,Above 2100,101-150
1030,Stephen Parker,1983-10-26,Female,High School,2021-02-28,Operations,Logistics Manager,Mid-Level,North America,USA,37.7749,-122.4194,Onsite,Part-time,51356.64,4,Active,22,Asian,3,41,36-45,1-3 Years,50K-75K,2023,1.6666666666666667,31,34,2118.3333333333335,181.0,7.666666666666667,High,4.333333333333333,3066.6099999999997,4834.86,500-5K,500-5K,Very High,6-10,Below Average,21-40,21-40,Above 2100,151-200
1031,Adya Munshi,2006-10-17,Male,High School,2021-03-14,IT,Data Scientist,Mid-Level,Asia,India,28.7041,77.1025,Remote,Full-time,118915.26,3,Active,15,Dravidian,3,18,18-25,1-3 Years,100K-125K,2023,2.3333333333333335,31,35,1688.0,57.0,9.0,High,4.666666666666667,4504.4,6204.969999999999,500-5K,5K-10K,Very High,6-10,Average,21-40,21-40,1501-1700,51-100
1032,Alex Evans,1977-06-29,Male,Master's,2018-08-17,IT,Software Engineer,Operational,North America,USA,37.7749,-122.4194,Onsite,Full-time,43875.52,1,Active,22,Black,6,47,46-55,4-6 Years,30K-50K,2023,2.6666666666666665,64,71,2012.0,201.66666666666666,13.666666666666666,Low,3.8333333333333335,10396.28,15499.5,10K-15K,10K-20K,High,11-15,Average,61-80,61-80,1901-2100,Above 200
1033,Ati Datta,1990-04-16,Female,Bachelor's,2020-02-18,Operations,Operations Coordinator,Entry,Asia,India,28.7041,77.1025,Remote,Full-time,58393.54,3,Active,22,India-Tribal,4,34,26-35,4-6 Years,50K-75K,2023,3.0,45,50,2112.5,176.0,11.5,Moderate,3.75,8458.789999999999,12786.21,5K-10K,10K-20K,High,11-15,Average,41-60,41-60,Above 2100,151-200
1034,Hemal Kale,2005-08-21,Female,High School,2021-09-24,HR,HR Specialist,Operational,Asia,India,28.7041,77.1025,Onsite,Part-time,60878.26,3,Active,22,Indo-Aryan,3,19,18-25,1-3 Years,50K-75K,2023,2.6666666666666665,33,39,1940.0,99.33333333333333,11.0,High,3.0,5705.0199999999995,8027.5,5K-10K,5K-10K,Medium,11-15,Average,21-40,21-40,1901-2100,51-100
1035,Mirjana Gierschner,1990-06-22,Female,Master's,2018-09-05,HR,HR Specialist,Operational,Europe,Germany,52.52,13.405,Onsite,Part-time,72608.18,1,Active,18,German,6,34,26-35,4-6 Years,50K-75K,2023,2.6666666666666665,66,72,1869.6666666666667,133.33333333333334,9.833333333333334,Moderate,4.166666666666667,11188.05,16895.13,10K-15K,10K-20K,Very High,6-10,Average,61-80,61-80,1701-1900,101-150
1036,Wayne Arnold,1966-03-22,Female,High School,2022-11-15,Operations,Logistics Manager,Mid-Level,Europe,UK,51.5074,-0.1278,Remote,Full-time,51835.31,1,Active,22,White British,2,58,56-66,1-3 Years,50K-75K,2023,4.0,23,25,1929.5,96.0,12.0,Low,4.5,6855.77,8731.529999999999,5K-10K,5K-10K,Very High,11-15,Good,21-40,21-40,1901-2100,51-100
1037,Jane Allen,1966-01-26,Male,Master's,2020-12-10,IT,Data Scientist,Mid-Level,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,72495.25,1,Active,22,Bengali,4,58,56-66,4-6 Years,50K-75K,2023,1.75,44,55,1995.5,113.0,9.75,High,3.25,4322.0,6318.41,500-5K,5K-10K,High,6-10,Below Average,41-60,41-60,1901-2100,101-150
1038,Susana Warmer,1986-10-17,Male,High School,2022-12-25,R&D,Research Scientist,Mid-Level,Europe,Germany,52.52,13.405,Remote,Full-time,70353.12,3,Active,22,German,1,38,36-45,1-3 Years,50K-75K,2023,1.5,21,26,2029.5,85.0,12.5,Low,5.0,1814.5,2812.55,500-5K,500-5K,Very High,11-15,Below Average,21-40,21-40,1901-2100,51-100
1039,Laura Barber,1987-03-17,Female,High School,2019-07-26,R&D,Research Scientist,Mid-Level,North America,USA,37.7749,-122.4194,Remote,Full-time,59010.26,4,Resigned,22,White,3,37,36-45,1-3 Years,50K-75K,2024,2.2857142857142856,72,93,2095.4285714285716,197.57142857142858,12.571428571428571,Moderate,2.857142857142857,20134.06,19761.52,Above 20K,10K-20K,Medium,11-15,Average,61-80,Above 80,1901-2100,151-200
1040,David Hansen,2003-10-27,Female,High School,2019-09-24,IT,Software Engineer,Operational,North America,USA,37.7749,-122.4194,Remote,Full-time,108047.08,3,Active,18,White,5,21,18-25,4-6 Years,100K-125K,2023,2.0,50,64,1782.8,107.8,11.6,High,3.6,6359.03,8713.17,5K-10K,5K-10K,High,11-15,Below Average,41-60,61-80,1701-1900,101-150
1041,Burkhard Dowerg-Ullrich,1991-04-20,Female,Master's,2021-03-25,IT,IT Support Specialist,Entry,Europe,Germany,52.52,13.405,Onsite,Full-time,51574.58,4,Active,24,Turkish,3,33,26-35,1-3 Years,50K-75K,2023,1.0,34,40,1671.3333333333333,198.0,8.0,Low,2.0,1970.01,2871.73,500-5K,500-5K,Low,6-10,Poor,21-40,21-40,1501-1700,151-200
1042,Jay Mendoza,1973-06-05,Female,Doctorate,2020-10-04,Operations,Logistics Manager,Mid-Level,North America,USA,37.7749,-122.4194,Remote,Part-time,48416.98,0,Active,24,Asian,4,51,46-55,4-6 Years,30K-50K,2023,1.25,44,53,1880.0,89.0,5.0,High,3.5,4124.56,4917.0599999999995,500-5K,500-5K,High,1-5,Below Average,41-60,41-60,1701-1900,51-100
1043,Lee Williamson,1982-09-15,Female,High School,2018-11-14,Finance,Financial Analyst,Operational,Europe,UK,51.5074,-0.1278,Onsite,Full-time,40590.96,4,Resigned,25,White British,4,42,36-45,4-6 Years,30K-50K,2021,1.0,40,45,1789.0,205.0,15.25,Low,1.5,3358.48,3824.21,500-5K,500-5K,Low,16-20,Poor,21-40,41-60,1701-1900,Above 200
1044,Alexandra Scott,1972-04-27,Female,High School,2021-11-15,IT,Software Engineer,Operational,Europe,UK,51.5074,-0.1278,Remote,Full-time,64640.72,0,Active,22,White British,3,52,46-55,1-3 Years,50K-75K,2023,1.6666666666666667,30,30,1862.0,230.0,14.333333333333334,High,2.3333333333333335,4220.110000000001,5000.0,500-5K,500-5K,Medium,11-15,Below Average,21-40,21-40,1701-1900,Above 200
1045,Caroline Austin,1983-06-09,Female,High School,2022-09-20,Sales,Sales Representative,Entry,North America,USA,37.7749,-122.4194,Onsite,Part-time,47852.08,2,Active,24,USA-Other,2,41,36-45,1-3 Years,30K-50K,2023,1.0,22,22,1820.5,172.0,18.0,High,1.5,1741.0,2126.94,500-5K,500-5K,Low,16-20,Poor,21-40,21-40,1701-1900,151-200
1046,Ing. Trudi Stoll B.Eng.,1982-04-11,Female,Master's,2019-01-20,Operations,Logistics Manager,Mid-Level,Europe,Germany,52.52,13.405,Onsite,Full-time,44071.57,0,Active,24,Germany-Other,5,42,36-45,4-6 Years,30K-50K,2023,2.8,59,63,1950.8,143.0,10.2,High,4.4,9573.210000000001,13949.9,5K-10K,10K-20K,Very High,11-15,Average,41-60,61-80,1901-2100,101-150
1047,Dr Ronald Davies,1964-06-01,Male,Master's,2018-06-08,Sales,Sales Representative,Entry,Europe,UK,51.5074,-0.1278,Remote,Full-time,120803.42,0,Resigned,15,White British,4,60,56-66,4-6 Years,100K-125K,2023,2.6666666666666665,63,75,1732.5,133.16666666666666,11.0,Moderate,2.5,11439.51,15478.61,10K-15K,10K-20K,Medium,11-15,Average,61-80,61-80,1701-1900,101-150
1048,Daksha Bains,1991-04-08,Female,Associate's,2019-11-18,IT,Software Engineer,Operational,Asia,India,28.7041,77.1025,Onsite,Full-time,46368.26,0,Active,24,Indo-Aryan,5,33,26-35,4-6 Years,30K-50K,2023,2.6,52,58,1966.6,155.6,11.0,Low,3.4,7983.17,13004.98,5K-10K,10K-20K,High,11-15,Average,41-60,41-60,1901-2100,151-200
1049,Darryl Barnes,1964-08-10,Male,High School,2018-06-24,Sales,Sales Representative,Entry,North America,USA,37.7749,-122.4194,Remote,Full-time,122321.99,0,Active,15,White,6,60,56-66,4-6 Years,100K-125K,2023,2.5,64,70,2051.3333333333335,130.5,16.833333333333332,High,3.8333333333333335,11025.03,15105.41,10K-15K,10K-20K,High,16-20,Average,61-80,61-80,1901-2100,101-150
1050,Emily Allen,1995-08-27,Female,Bachelor's,2020-03-13,R&D,R&D Engineer,Mid-Level,North America,USA,37.7749,-122.4194,Remote,Full-time,131812.91,3,Active,15,White,4,29,26-35,4-6 Years,125K-150K,2023,4.0,43,45,1928.25,184.5,10.0,Moderate,4.5,11959.380000000001,15976.67,10K-15K,10K-20K,Very High,6-10,Good,41-60,41-60,1901-2100,151-200
1051,Michelle Byrne,1975-07-22,Female,Bachelor's,2019-01-11,IT,Software Engineer,Operational,Europe,UK,51.5074,-0.1278,Remote,Full-time,55408.5,1,Active,24,Black British,5,49,46-55,4-6 Years,50K-75K,2023,1.4,54,66,1987.6,138.2,10.2,High,3.0,4927.92,6456.0599999999995,500-5K,5K-10K,Medium,11-15,Below Average,41-60,61-80,1901-2100,101-150
1052,Dr. Sofie Binner B.Sc.,1988-06-11,Female,High School,2020-11-27,R&D,Research Scientist,Mid-Level,Europe,Germany,52.52,13.405,Remote,Full-time,82344.42,2,Active,20,Germany-Other,4,36,36-45,4-6 Years,75K-100K,2023,2.5,45,50,1969.25,182.75,13.5,Low,3.5,6543.2,10217.99,5K-10K,10K-20K,High,11-15,Average,41-60,41-60,1901-2100,151-200
1053,Matthew Griffin,1962-07-18,Male,Associate's,2022-04-29,IT,IT Support Specialist,Entry,North America,USA,37.7749,-122.4194,Onsite,Part-time,49856.63,0,Active,24,White,2,62,56-66,1-3 Years,30K-50K,2023,2.0,23,25,2191.5,188.0,13.5,High,3.0,3332.4,4324.37,500-5K,500-5K,Medium,11-15,Below Average,21-40,21-40,Above 2100,151-200
1054,Maya Aurora,1998-05-25,Male,High School,2021-02-24,Marketing,Marketing Coordinator,Entry,Asia,India,28.7041,77.1025,Onsite,Part-time,71005.46,0,Active,22,Indo-Aryan,3,26,26-35,1-3 Years,50K-75K,2023,3.0,34,36,2018.0,120.66666666666667,15.0,Moderate,4.666666666666667,6891.07,8647.81,5K-10K,5K-10K,Very High,11-15,Average,21-40,21-40,1901-2100,101-150
1055,Richard Molina,1988-05-03,Male,Bachelor's,2022-05-09,Operations,Logistics Manager,Mid-Level,Asia,Bangladesh,23.685,90.3563,Onsite,Full-time,32229.03,3,Resigned,25,Bengali,0,36,36-45,<1 Year,30K-50K,2024,3.2857142857142856,77,89,2049.0,185.57142857142858,10.142857142857142,High,2.7142857142857144,19280.170000000002,10754.04,15K-20K,10K-20K,Medium,11-15,Good,61-80,Above 80,1901-2100,151-200
1056,Alicia Bonbach,1977-05-29,Female,Bachelor's,2022-01-26,HR,HR Specialist,Operational,Europe,Germany,52.52,13.405,Onsite,Full-time,56844.42,3,Active,24,German,2,47,46-55,1-3 Years,50K-75K,2023,3.0,22,25,2114.0,224.5,19.0,Moderate,3.5,5030.68,6244.59,5K-10K,5K-10K,High,16-20,Average,21-40,21-40,Above 2100,Above 200
1057,Annelore Freudenberger,2006-03-02,Male,Bachelor's,2022-06-11,Operations,Logistics Manager,Mid-Level,Europe,Germany,52.52,13.405,Remote,Part-time,31007.25,0,Active,25,German,2,18,18-25,1-3 Years,30K-50K,2023,1.0,21,26,2101.5,268.5,5.0,High,1.5,1572.27,1826.67,500-5K,500-5K,Low,1-5,Poor,21-40,21-40,Above 2100,Above 200
1058,Jörn Beyer B.Sc.,1972-11-25,Female,High School,2020-08-13,R&D,R&D Engineer,Mid-Level,Europe,Germany,52.52,13.405,Onsite,Full-time,70751.78,1,Resigned,20,Germany-Other,1,52,46-55,1-3 Years,50K-75K,2024,2.142857142857143,79,95,1983.5714285714287,148.71428571428572,6.285714285714286,Low,2.857142857142857,18885.86,13677.49,15K-20K,10K-20K,Medium,6-10,Average,61-80,Above 80,1901-2100,101-150
1059,Stjepan Klemm,1964-05-13,Male,Bachelor's,2021-06-18,Marketing,Content Strategist,Operational,Europe,Germany,52.52,13.405,Remote,Full-time,62434.63,3,Active,20,German,3,60,56-66,1-3 Years,50K-75K,2023,2.3333333333333335,34,40,1953.6666666666667,112.66666666666667,14.0,High,4.666666666666667,5167.2,6820.75,5K-10K,5K-10K,Very High,11-15,Average,21-40,21-40,1901-2100,101-150
1060,Diane Lewis,1988-03-28,Male,Master's,2020-01-01,Marketing,Content Strategist,Operational,North America,USA,37.7749,-122.4194,Remote,Full-time,97768.65,4,Active,18,White,4,36,36-45,4-6 Years,75K-100K,2023,1.75,41,44,1932.5,132.0,11.0,Low,3.5,5362.05,6622.01,5K-10K,5K-10K,High,11-15,Below Average,41-60,41-60,1901-2100,101-150
1061,Odika Chowdhury,1988-01-17,Male,Associate's,2018-09-17,Sales,Sales Representative,Entry,Asia,India,28.7041,77.1025,Onsite,Full-time,84589.51,2,Active,20,Indo-Aryan,6,36,36-45,4-6 Years,75K-100K,2023,1.6666666666666667,63,65,1932.0,120.16666666666667,11.333333333333334,Moderate,3.8333333333333335,7746.18,10148.28,5K-10K,10K-20K,High,11-15,Below Average,61-80,61-80,1901-2100,101-150
1062,Justin Clark,1970-02-09,Female,Master's,2022-08-11,R&D,R&D Engineer,Mid-Level,Asia,Bangladesh,23.685,90.3563,Remote,Full-time,56378.18,4,Active,24,BD-Tribal,2,54,46-55,1-3 Years,50K-75K,2023,1.5,22,30,1866.0,119.5,13.5,High,3.0,1854.52,2531.79,500-5K,500-5K,Medium,11-15,Below Average,21-40,21-40,1701-1900,101-150
1063,Gislinde Etzold,1976-08-25,Female,High School,2021-12-07,IT,IT Support Specialist,Entry,Europe,Germany,52.52,13.405,Remote,Full-time,96177.64,3,Active,18,Germany-Other,3,48,46-55,1-3 Years,75K-100K,2023,2.0,32,36,2045.3333333333333,143.33333333333334,4.666666666666667,Moderate,3.3333333333333335,3544.25,5976.23,500-5K,5K-10K,High,1-5,Below Average,21-40,21-40,1901-2100,101-150
1064,Ekapad Thakkar,1978-11-03,Female,Bachelor's,2021-06-12,Marketing,Content Strategist,Operational,Asia,India,28.7041,77.1025,Remote,Full-time,61640.72,4,Active,22,Indo-Aryan,3,46,46-55,1-3 Years,50K-75K,2023,2.6666666666666665,32,41,2102.0,175.0,15.666666666666666,Moderate,3.3333333333333335,5307.9400000000005,6869.6,5K-10K,5K-10K,High,16-20,Average,21-40,41-60,Above 2100,151-200
1065,Dominic Davies,1989-11-26,Female,Bachelor's,2021-04-09,IT,Data Scientist,Mid-Level,North America,USA,37.7749,-122.4194,Onsite,Part-time,97200.4,3,Active,18,White,3,35,26-35,1-3 Years,75K-100K,2023,3.0,30,40,1896.3333333333333,153.33333333333334,10.333333333333334,Moderate,3.6666666666666665,5585.59,7573.78,5K-10K,5K-10K,High,11-15,Average,21-40,21-40,1701-1900,151-200
